# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-03-28 at 11:06:21
#
# Requested input R.A. = 19.9854288 degrees
# Requested input Dec. = 38.1860177 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460398.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 696 3 0 ZTF_g 515483240815 0 3.6563 114.983 25.2725 26.1809 4.55921e-05 0.0484134 -0.0497546 0.000133774 491 30. 0.08552 0.065528 18.3348 26.1809 1 2458269.9832407 696120108 92.7564382885213 167.07123110997 0.617585644220815 0.965664119669351 74.7436601145212 222.308473492283 0.338480408702794 1.12546466298772 2.28133181956171 18.2450000762939 0.150000005960464 5.07499980926514 0.160999998450279 2458274.950683 2458367.912824 0
 1 696 3 0 ZTF_g 520450680815 0 3.3797 99.445 10.1537 26.0038 1.7315e-05 0.0494461 -0.0713936 4.44821e-05 1015 30. 0.071242 0.053413 19.2197 26.0038 1 2458274.9506829 696120108 79.930261775736 58.0467529997946 1.53175076206639 0.994037338068995 53.6738382254043 82.2247199916047 0.657166538475154 1.08575475159517 2.28133181956171 18.2450000762939 0.150000005960464 5.07499980926514 0.160999998450279 2458274.950683 2458367.912824 0
 2 696 3 0 ZTF_r 520476700815 0 2.6248 154.974 11.4361 26.1651 3.4254e-06 0.0282141 0.0831337 6.30374e-06 1440 30. 0.044102 0.043605 19.5158 26.1651 1 2458274.9767014 696120208 65.1654241286912 58.7228710163548 1.2344251085283 0.966233099583588 -9.5804519954536 99.7246199475594 -0.0967161057713257 1.05156741782956 2.96595959201402 17.9299997329712 0.115000002086163 4.37599992752075 0.28999999165535 2458280.974873 2458352.972685 0
 3 696 3 0 ZTF_g 523464270815 0 2.6214 105.147 8.3436 26.0581 5.9045e-06 0.0342508 -0.0769671 1.27073e-05 1298 30. 0.051332 0.046891 19.7595 26.0581 1 2458277.9642708 696120108 20.9366039900149 41.6259772097992 0.559495499587611 0.971203088902396 27.1423158262628 70.1323377050352 0.389622273820506 1.05168520541658 2.28133181956171 18.2450000762939 0.150000005960464 5.07499980926514 0.160999998450279 2458274.950683 2458367.912824 0
 4 696 3 0 ZTF_g 526451090815 0 2.5333 118.723 5.58736 26.183 4.0898e-06 0.0305125 -0.0792473 7.67525e-06 1434 30. 0.053408 0.04203 20.3306 26.183 1 2458280.9510995 696120108 22.5317332808998 26.3527541678142 0.951093890690815 1.07045024488609 33.2884739762303 45.3300007199109 0.739304505437373 1.0495613691019 2.28133181956171 18.2450000762939 0.150000005960464 5.07499980926514 0.160999998450279 2458274.950683 2458367.912824 0
 5 696 3 0 ZTF_r 526474870815 0 2.2707 156.539 9.76147 26.1791 2.634e-06 0.0246368 0.0800788 4.8506e-06 1446 30. 0.044922 0.044243 19.8104 26.1791 1 2458280.9748727 696120208 -73.2944784606294 40.9349562800186 -1.9917357978844 1.11090735896498 -92.6152529960304 76.1482645027246 -1.2244405392881 1.04017981987701 2.96595959201402 17.9299997329712 0.115000002086163 4.37599992752075 0.28999999165535 2458280.974873 2458352.972685 0
 6 696 3 0 ZTF_g 529449350815 0 3.0315 119.204 5.29009 26.1806 5.6877e-06 0.0351976 -0.0678745 1.12147e-05 1390 30. 0.057782 0.051801 20.1864 26.1806 1 2458283.9493519 696120108 72.4540890597318 32.2119826150521 2.50207455102036 1.27282608718318 75.8015868331752 48.7168421815425 1.56644214740681 1.07212492836277 2.28133181956171 18.2450000762939 0.150000005960464 5.07499980926514 0.160999998450279 2458274.950683 2458367.912824 0
 7 696 3 0 ZTF_r 529470050815 0 2.8034 157.838 7.37178 26.1712 2.9314e-06 0.0260193 0.0885921 5.41909e-06 1448 30. 0.05121 0.046833 19.9112 26.1712 1 2458283.9700579 696120208 35.6337839268208 39.1923363332526 1.01138286136298 1.05780308225814 120.131913540632 62.4928939874635 1.93527617578998 1.05836019239082 2.96595959201402 17.9299997329712 0.115000002086163 4.37599992752075 0.28999999165535 2458280.974873 2458352.972685 0
 8 696 3 0 ZTF_g 532451780815 0 3.3578 124.562 4.55211 26.2332 5.0971e-06 0.0337079 -0.0756743 9.7628e-06 1415 30. 0.061299 0.052765 20.3316 26.2332 1 2458286.9517824 696120108 6.43345562921526 31.9310129369273 0.224122993960759 1.01273123768897 -2.20473978684322 45.5386357702667 -0.0487407845802517 1.10076659742193 2.28133181956171 18.2450000762939 0.150000005960464 5.07499980926514 0.160999998450279 2458274.950683 2458367.912824 0
